index,dx,dy,dz,Bx,By,Bz,Bmod,
0.0,0.0,0.0,0.0,428730.0,2300.0,1520.0,428738.8637620807,
1.0,-50.0,-50.0,-50.0,426210.0,7500.0,5910.0,426316.9504019281,
2.0,0.0,0.0,25.0,427140.0,7460.0,5120.0,427235.81965935393,
3.0,0.0,0.0,25.0,427170.0,6850.000000000001,5090.0,427255.2392891163,
4.0,0.0,0.0,25.0,426750.0,6210.0,4810.0,426822.28468063846,
5.0,0.0,0.0,25.0,425120.0,4850.0,2690.0,425156.174834613,
6.0,25.0,0.0,-100.0,428650.0,8380.0,6500.0,428781.1760093953,
7.0,0.0,0.0,25.0,427840.0,9250.0,5480.0,427975.06761492544,
8.0,0.0,0.0,25.0,427640.0,9210.0,4810.0,427766.20927791856,
9.0,0.0,0.0,25.0,427680.0,8830.0,3910.0,427789.0127153805,
10.0,0.0,0.0,25.0,428380.0,8760.0,3120.0,428480.9171946868,
11.0,25.0,0.0,-100.0,429550.0,9660.0,4690.0,429684.2028746228,
12.0,0.0,0.0,25.0,428540.0,10500.0,4060.0000000000005,428687.8412084952,
13.0,0.0,0.0,25.0,428190.0,10570.0,3780.0,428337.1212024473,
14.0,0.0,0.0,25.0,428310.00000000006,10420.0,3160.0,428448.3844058699,
15.0,0.0,0.0,25.0,428970.0,10350.0,2730.0,429103.5263196983,
16.0,25.0,0.0,-100.0,429940.0,11630.0,1190.0,430098.914902142,
17.0,0.0,0.0,25.0,428700.0,12669.999999999998,2130.0,428892.4758025023,
18.0,0.0,0.0,25.0,428470.0,12440.0,2410.0,428657.3253777427,
19.0,0.0,0.0,25.0,428540.0,12060.0,2290.0,428715.7791591068,
20.0,0.0,0.0,25.0,429320.0,12290.000000000002,3120.0,429507.2070408132,
21.0,25.0,0.0,-100.0,426019.99999999994,16460.0,1739.9999999999998,426341.4120162384,
22.0,0.0,0.0,25.0,428430.00000000006,15049.999999999998,2170.0,428699.75075803354,
23.0,0.0,0.0,25.0,428620.0,14220.0,1739.9999999999998,428859.3480384915,
24.0,0.0,0.0,25.0,428620.0,13500.0,920.0,428833.535069262,
25.0,0.0,0.0,25.0,426760.0,11750.0,680.0,426922.2675148252,
26.0,-100.0,25.0,-100.0,427299.99999999994,17600.0,5070.0,427692.3601141362,
27.0,0.0,0.0,25.0,427570.0,17560.0,5000.0,427959.64587797294,
28.0,0.0,0.0,25.0,427500.0,17260.0,4990.0,427877.3862919142,
